School District,Student Name,Student ID,Race,Student Gender,ZipCode,% present fall,% present spring
Primary School - District A,"LastName, FirstName",73315177977,W,1,555444,96.49%,98.54
Primary School - District A,"LastName, FirstName",73317151137,B,1,555444,97.37%,98.25
High School - District A,"LastName, FirstName",73317537993,W,1,555444,96.78%,92.98
High School - District A,"LastName, FirstName",73317719737,W,1,555444,97.08%,97.08
High School - District A,"LastName, FirstName",73331553377,W,1,555444,95.32%,93.86
High School - District A,"LastName, FirstName",73331919313,W,2,555444,97.08%,99.12
High School - District A,"LastName, FirstName",73333735931,W,2,555444,98.25%,100
Primary School - District A,"LastName, FirstName",73333755937,W,1,555444,97.08%,100
High School - District A,"LastName, FirstName",73333997993,W,2,555444,92.98%,97.37
High School - District A,"LastName, FirstName",73339175315,W,2,555444,96.49%,92.98
Primary School - District A,"LastName, FirstName",73339711559,W,2,555444,98.25%,92.98
Middle School - District A,"LastName, FirstName",73351373713,W,2,555444,98.54%,91.81
High School - District A,"LastName, FirstName",73351913737,W,1,555444,97.66%,99.71
Primary School - District A,"LastName, FirstName",73353335551,W,1,555444,98.54%,95.03
High School - District A,"LastName, FirstName",73353559977,W,2,555444,100.00%,94.74
High School - District A,"LastName, FirstName",73353599155,W,1,555444,99.42%,97.37
Intermediate School - District A,"LastName, FirstName",73353731779,W,1,555444,100.00%,94.74
High School - District A,"LastName, FirstName",73355377977,W,1,555444,96.78%,98.54
Primary School - District A,"LastName, FirstName",73355975577,W,2,555444,97.08%,99.71
High School - District A,"LastName, FirstName",73357111119,W,1,555444,94.44%,97.95
Primary School - District A,"LastName, FirstName",73357511997,H,1,555444,98.54%,99.12
Primary School - District A,"LastName, FirstName",73357557513,W,1,555444,91.23%,98.25
Middle School - District A,"LastName, FirstName",73357931531,W,1,555444,97.37%,92.4
Middle School - District A,"LastName, FirstName",73359175733,W,1,555444,93.57%,97.37
Primary School - District A,"LastName, FirstName",73359555959,W,1,555444,98.54%,96.78
Intermediate School - District A,"LastName, FirstName",73371779731,W,2,555444,96.49%,99.42
High School - District A,"LastName, FirstName",73371931519,W,2,555444,91.81%,98.54
Middle School - District A,"LastName, FirstName",73371933799,W,1,555444,98.54%,94.74
Primary School - District A,"LastName, FirstName",73373131395,W,2,555444,99.71%,88.6
High School - District A,"LastName, FirstName",73373179351,W,1,555444,97.37%,95.03
Intermediate School - District A,"LastName, FirstName",73373797937,W,2,555444,98.25%,97.08
Middle School - District A,"LastName, FirstName",73375137993,W,2,555444,97.66%,98.54
Primary School - District A,"LastName, FirstName",73375157313,W,1,555444,90.35%,94.44
Middle School - District A,"LastName, FirstName",73375937193,W,1,555444,96.20%,97.37
Middle School - District A,"LastName, FirstName",73377351553,B,2,555444,96.49%,97.08
High School - District A,"LastName, FirstName",73379399953,W,1,555444,94.44%,97.66
Primary School - District A,"LastName, FirstName",73379979759,W,2,555444,93.27%,98.25
Primary School - District A,"LastName, FirstName",73391175119,B,2,555444,99.12%,91.81
Intermediate School - District A,"LastName, FirstName",73391551715,W,1,555444,93.57%,98.25
High School - District A,"LastName, FirstName",73391577377,W,1,555444,95.03%,94.15
Primary School - District A,"LastName, FirstName",73391713917,W,1,555444,96.20%,98.83
Intermediate School - District A,"LastName, FirstName",73393139557,W,2,555444,98.54%,98.25
High School - District A,"LastName, FirstName",73393579379,W,1,555444,94.74%,97.08
Primary School - District A,"LastName, FirstName",73393957537,W,2,555444,100.00%,94.44
Middle School - District A,"LastName, FirstName",73395399559,W,1,555444,99.71%,99.71
Intermediate School - District A,"LastName, FirstName",73397935311,W,1,555444,99.12%,95.61
High School - District A,"LastName, FirstName",73397937973,H,2,555444,97.08%,88.3
Intermediate School - District A,"LastName, FirstName",73399375177,W,2,555444,95.91%,97.08
High School - District A,"LastName, FirstName",73399517771,W,2,555444,97.66%,94.74
Primary School - District A,"LastName, FirstName",73399559799,W,1,555444,96.20%,94.44
Middle School - District A,"LastName, FirstName",73399599537,W,2,555444,90.94%,100
Primary School - District A,"LastName, FirstName",73399735137,W,2,555444,96.49%,98.83
Primary School - District A,"LastName, FirstName",73511939995,W,1,555444,92.40%,98.54
High School - District A,"LastName, FirstName",73511991577,W,1,555444,95.03%,98.83
Middle School - District A,"LastName, FirstName",73513719993,W,1,555444,92.98%,95.03
Middle School - District A,"LastName, FirstName",73513977371,W,2,555444,91.81%,94.74
Intermediate School - District A,"LastName, FirstName",73515397575,W,1,555444,97.08%,94.74
Primary School - District A,"LastName, FirstName",73515735555,W,1,555444,97.08%,98.83
Intermediate School - District A,"LastName, FirstName",73517577171,W,1,555444,98.54%,96.49
Intermediate School - District A,"LastName, FirstName",73517913199,W,1,555444,95.32%,99.42
Primary School - District A,"LastName, FirstName",73517913979,W,1,555444,97.37%,97.95
Primary School - District A,"LastName, FirstName",73517931113,W,1,555444,99.12%,96.2
High School - District A,"LastName, FirstName",73519319333,W,2,555444,95.32%,98.83
High School - District A,"LastName, FirstName",73519373173,W,1,555444,94.74%,96.78
Middle School - District A,"LastName, FirstName",73519399571,W,1,555444,94.15%,93.86
High School - District A,"LastName, FirstName",73531351517,W,1,555444,94.15%,90.94
High School - District A,"LastName, FirstName",73531751599,W,1,555444,94.44%,97.66
High School - District A,"LastName, FirstName",73531793353,W,1,555444,93.86%,100
Primary School - District A,"LastName, FirstName",73533571771,W,1,555444,95.03%,98.54
Primary School - District A,"LastName, FirstName",73533973317,W,2,555444,98.54%,94.15
High School - District A,"LastName, FirstName",73535177599,W,2,555444,92.98%,100
High School - District A,"LastName, FirstName",73535199151,W,1,555444,94.44%,97.37
Primary School - District A,"LastName, FirstName",73535373917,W,1,555444,96.20%,98.25
Primary School - District A,"LastName, FirstName",73535375195,W,1,555444,93.57%,99.12
High School - District A,"LastName, FirstName",73535519313,A,1,555444,97.66%,95.32
Middle School - District A,"LastName, FirstName",73535755397,W,2,555444,94.44%,97.95
Intermediate School - District A,"LastName, FirstName",73537553391,W,2,555444,94.44%,97.08
Middle School - District A,"LastName, FirstName",73537559351,W,1,555444,98.54%,98.25
High School - District A,"LastName, FirstName",73539391151,W,1,555444,94.44%,95.32
Primary School - District A,"LastName, FirstName",73539537179,W,2,555444,94.15%,97.66
Intermediate School - District A,"LastName, FirstName",73551197131,W,1,555444,99.42%,99.12
High School - District A,"LastName, FirstName",73551517711,B,1,555444,90.64%,90.64
Primary School - District A,"LastName, FirstName",73551551531,W,2,555444,99.12%,94.15
High School - District A,"LastName, FirstName",73551977513,W,2,555444,95.03%,96.78
High School - District A,"LastName, FirstName",73553191739,W,1,555444,96.20%,92.98
Intermediate School - District A,"LastName, FirstName",73553319571,W,1,555444,92.98%,97.66
High School - District A,"LastName, FirstName",73553371111,W,1,555444,94.15%,98.25
Middle School - District A,"LastName, FirstName",73555197731,W,2,555444,88.30%,95.61
Middle School - District A,"LastName, FirstName",73555373397,W,1,555444,100.00%,94.44
Primary School - District A,"LastName, FirstName",73555511759,W,2,555444,90.94%,97.08
Middle School - District A,"LastName, FirstName",73555937319,W,2,555444,92.40%,95.61
Middle School - District A,"LastName, FirstName",73555937917,W,2,555444,94.74%,98.25
Middle School - District A,"LastName, FirstName",73555999533,W,1,555444,95.32%,98.54
High School - District A,"LastName, FirstName",73557313759,W,1,555444,97.66%,96.49
High School - District A,"LastName, FirstName",73557971197,I,2,555444,98.25%,98.25
Primary School - District A,"LastName, FirstName",73559555351,W,2,555444,96.20%,100
Primary School - District A,"LastName, FirstName",73571131519,W,1,555444,92.98%,98.83
Middle School - District A,"LastName, FirstName",73571739119,W,1,555444,97.08%,97.95
Middle School - District A,"LastName, FirstName",73573539195,W,1,555444,99.42%,94.15
Middle School - District A,"LastName, FirstName",73573955351,H,1,555444,98.54%,94.74
Intermediate School - District A,"LastName, FirstName",73575739599,W,2,555444,97.66%,99.42
High School - District A,"LastName, FirstName",73575759757,W,1,555444,99.42%,97.08
Primary School - District A,"LastName, FirstName",73575775937,W,2,555444,97.66%,98.54
High School - District A,"LastName, FirstName",73577177757,W,1,555444,93.27%,97.08
Intermediate School - District A,"LastName, FirstName",73577311539,I,2,555444,100.00%,95.03
Primary School - District A,"LastName, FirstName",73577597397,W,1,555444,98.83%,97.08
High School - District A,"LastName, FirstName",73577975599,W,2,555444,98.54%,98.54
Primary School - District A,"LastName, FirstName",73591177311,H,1,555444,95.03%,94.74
Middle School - District A,"LastName, FirstName",73591999733,W,2,555444,97.66%,92.4
High School - District A,"LastName, FirstName",73595775713,W,1,555444,93.86%,100
Intermediate School - District A,"LastName, FirstName",73599397397,W,1,555444,95.61%,95.32
High School - District A,"LastName, FirstName",73711319955,W,1,555444,91.81%,96.78
High School - District A,"LastName, FirstName",73711737959,W,2,555444,99.71%,92.98
Primary School - District A,"LastName, FirstName",73715177597,W,2,555444,95.03%,97.37
High School - District A,"LastName, FirstName",73715577573,W,1,555444,98.25%,92.4
High School - District A,"LastName, FirstName",73717713711,W,2,555444,94.15%,92.98
Intermediate School - District A,"LastName, FirstName",73717973513,W,2,555444,91.52%,96.78
Primary School - District A,"LastName, FirstName",73717973931,W,1,555444,96.78%,98.83
High School - District A,"LastName, FirstName",73717997951,W,1,555444,94.15%,91.81
Intermediate School - District A,"LastName, FirstName",73719137911,W,2,555444,98.25%,97.08
Primary School - District A,"LastName, FirstName",73719911757,W,2,555444,98.54%,95.61
Primary School - District A,"LastName, FirstName",73731117533,W,1,555444,88.30%,95.32
Intermediate School - District A,"LastName, FirstName",73731915913,W,2,555444,97.37%,97.66
Primary School - District A,"LastName, FirstName",73733953537,A,1,555444,99.42%,92.4
High School - District A,"LastName, FirstName",73735793371,W,2,555444,98.54%,94.15
Middle School - District A,"LastName, FirstName",73735797315,B,1,555444,96.49%,94.74
Primary School - District A,"LastName, FirstName",73737171351,W,1,555444,86.55%,100
Middle School - District A,"LastName, FirstName",73737311959,W,1,555444,97.08%,97.08
Primary School - District A,"LastName, FirstName",73737391755,W,1,555444,95.91%,94.15
High School - District A,"LastName, FirstName",73737395177,W,1,555444,96.78%,98.25
Middle School - District A,"LastName, FirstName",73737711799,W,2,555444,99.42%,98.25
Primary School - District A,"LastName, FirstName",73739573311,W,2,555444,94.44%,97.37
Primary School - District A,"LastName, FirstName",73739579339,W,2,555444,98.83%,100
Middle School - District A,"LastName, FirstName",73751333999,W,1,555444,89.47%,97.66
Primary School - District A,"LastName, FirstName",73751371917,W,2,555444,96.49%,93.57
Primary School - District A,"LastName, FirstName",73751533713,B,1,555444,96.49%,97.95
High School - District A,"LastName, FirstName",73751577377,W,2,555444,88.60%,99.12
Middle School - District A,"LastName, FirstName",73751911791,W,1,555444,95.91%,100
Intermediate School - District A,"LastName, FirstName",73751915353,W,1,555444,96.78%,95.32
Intermediate School - District A,"LastName, FirstName",73751977577,W,1,555444,100.00%,97.66
Middle School - District A,"LastName, FirstName",73753979937,W,2,555444,95.03%,98.54
Intermediate School - District A,"LastName, FirstName",73755957119,W,1,555444,93.86%,94.44
Middle School - District A,"LastName, FirstName",73757519937,W,2,555444,93.57%,100
Middle School - District A,"LastName, FirstName",73757535357,W,1,555444,91.52%,96.78
Intermediate School - District A,"LastName, FirstName",73757571393,W,1,555444,96.78%,99.42
Middle School - District A,"LastName, FirstName",73757719519,W,1,555444,99.42%,97.66
Primary School - District A,"LastName, FirstName",73757755997,W,2,555444,98.54%,94.15
Middle School - District A,"LastName, FirstName",73757779193,W,2,555444,94.74%,97.37
High School - District A,"LastName, FirstName",73759311717,W,1,555444,96.49%,98.25
Primary School - District A,"LastName, FirstName",73759357511,W,2,555444,92.98%,95.32
High School - District A,"LastName, FirstName",73759515597,W,2,555444,96.49%,98.54
Primary School - District A,"LastName, FirstName",73771139531,W,1,555444,95.61%,97.08
High School - District A,"LastName, FirstName",73771159919,W,1,555444,100.00%,92.98
Intermediate School - District A,"LastName, FirstName",73771995339,W,2,555444,96.20%,97.08
Intermediate School - District A,"LastName, FirstName",73775311317,W,1,555444,99.12%,97.08
Middle School - District A,"LastName, FirstName",73775335155,W,1,555444,94.74%,94.44
High School - District A,"LastName, FirstName",73775337959,W,1,555444,94.74%,93.86
High School - District A,"LastName, FirstName",73775553791,W,1,555444,98.25%,95.32
Middle School - District A,"LastName, FirstName",73775559915,W,2,555444,99.71%,95.61
Primary School - District A,"LastName, FirstName",73775739997,W,1,555444,97.37%,100
High School - District A,"LastName, FirstName",73775751751,H,2,555444,94.44%,100
Primary School - District A,"LastName, FirstName",73775959391,W,1,555444,98.25%,93.57
Primary School - District A,"LastName, FirstName",73777533571,W,1,555444,97.37%,94.15
High School - District A,"LastName, FirstName",73777571539,A,1,555444,93.86%,97.08
Middle School - District A,"LastName, FirstName",73777575353,W,1,555444,98.54%,98.25
High School - District A,"LastName, FirstName",73779517791,W,1,555444,94.44%,97.37
High School - District A,"LastName, FirstName",73779531773,W,2,555444,94.15%,91.81
Primary School - District A,"LastName, FirstName",73779551173,W,1,555444,98.54%,96.2
Intermediate School - District A,"LastName, FirstName",73791133951,W,1,555444,97.37%,99.71
Primary School - District A,"LastName, FirstName",73791199515,W,2,555444,94.74%,93.86
High School - District A,"LastName, FirstName",73791779379,W,1,555444,98.54%,94.15
High School - District A,"LastName, FirstName",73793553153,W,2,555444,98.25%,99.12
High School - District A,"LastName, FirstName",73793793559,W,1,555444,92.98%,97.08
Primary School - District A,"LastName, FirstName",73795137977,W,1,555444,97.08%,95.61
Primary School - District A,"LastName, FirstName",73795335557,W,1,555444,93.86%,97.37
High School - District A,"LastName, FirstName",73795913373,W,2,555444,99.12%,98.25
Primary School - District A,"LastName, FirstName",73797159517,W,1,555444,100.00%,96.49
Primary School - District A,"LastName, FirstName",73797173153,W,1,555444,100.00%,93.57
Primary School - District A,"LastName, FirstName",73797319197,W,1,555444,97.37%,96.78
High School - District A,"LastName, FirstName",73797319777,W,2,555444,92.98%,93.86
Primary School - District A,"LastName, FirstName",73797559537,W,2,555444,92.98%,100
Intermediate School - District A,"LastName, FirstName",73797755573,H,1,555444,91.81%,91.81
Middle School - District A,"LastName, FirstName",73797793371,W,2,555444,99.71%,97.95
Primary School - District A,"LastName, FirstName",73797935997,B,1,555444,95.03%,99.12
Intermediate School - District A,"LastName, FirstName",73799353155,W,2,555444,94.74%,91.81
High School - District A,"LastName, FirstName",73799719931,W,2,555444,97.37%,90.35
High School - District A,"LastName, FirstName",73911135771,W,2,555444,94.74%,94.44
High School - District A,"LastName, FirstName",73911331991,W,2,555444,98.54%,99.71
Primary School - District A,"LastName, FirstName",73911533597,A,1,555444,99.71%,88.3
Intermediate School - District A,"LastName, FirstName",73911535977,W,2,555444,97.95%,88.3
Primary School - District A,"LastName, FirstName",73913717395,W,1,555444,99.12%,96.2
Middle School - District A,"LastName, FirstName",73913975171,W,2,555444,98.25%,92.98
Middle School - District A,"LastName, FirstName",73917793915,W,1,555444,92.40%,91.52
Intermediate School - District A,"LastName, FirstName",73917957551,W,1,555444,97.37%,94.44
Middle School - District A,"LastName, FirstName",73919177397,B,1,555444,96.78%,97.37
Primary School - District A,"LastName, FirstName",73919579573,W,1,555444,99.42%,96.2
Middle School - District A,"LastName, FirstName",73919793935,W,2,555444,98.54%,96.2
Middle School - District A,"LastName, FirstName",73919973153,W,2,555444,94.74%,99.42
High School - District A,"LastName, FirstName",73933199379,B,1,555444,88.60%,99.42
Primary School - District A,"LastName, FirstName",73933375553,B,2,555444,95.03%,98.83
Middle School - District A,"LastName, FirstName",73933719573,W,1,555444,97.08%,97.37
Primary School - District A,"LastName, FirstName",73933731113,W,1,555444,98.54%,94.44
Middle School - District A,"LastName, FirstName",73933799917,W,2,555444,94.44%,98.25
High School - District A,"LastName, FirstName",73933971537,W,2,555444,97.37%,97.08
Primary School - District A,"LastName, FirstName",73935311513,A,1,555444,97.08%,99.42
Middle School - District A,"LastName, FirstName",73935757757,W,2,555444,97.66%,99.71
High School - District A,"LastName, FirstName",73937573971,W,2,555444,98.25%,95.61
High School - District A,"LastName, FirstName",73939139951,W,1,555444,91.81%,94.74
High School - District A,"LastName, FirstName",73939511319,W,2,555444,98.25%,97.08
High School - District A,"LastName, FirstName",73939739375,W,2,555444,94.15%,94.15
Intermediate School - District A,"LastName, FirstName",73951139551,W,2,555444,98.83%,91.52
Middle School - District A,"LastName, FirstName",73951519331,W,1,555444,98.25%,100
Primary School - District A,"LastName, FirstName",73951575711,W,2,555444,97.08%,98.25
High School - District A,"LastName, FirstName",73953317319,W,2,555444,94.44%,97.08
Middle School - District A,"LastName, FirstName",73955173713,W,1,555444,99.71%,99.71
Middle School - District A,"LastName, FirstName",73957133371,W,2,555444,95.61%,93.27
High School - District A,"LastName, FirstName",73957919519,W,2,555444,88.30%,94.74
Middle School - District A,"LastName, FirstName",73959199153,W,1,555444,97.08%,98.83
Primary School - District A,"LastName, FirstName",73959595117,W,2,555444,94.74%,95.03
Middle School - District A,"LastName, FirstName",73959737537,W,1,555444,94.44%,97.37
Primary School - District A,"LastName, FirstName",73959919571,W,1,555444,100.00%,92.98
Primary School - District A,"LastName, FirstName",73971137117,W,2,555444,98.83%,96.78
Middle School - District A,"LastName, FirstName",73971371159,W,2,555444,98.54%,94.74
Primary School - District A,"LastName, FirstName",73971937153,W,1,555444,98.83%,98.54
High School - District A,"LastName, FirstName",73973519995,W,1,555444,95.03%,95.91
Primary School - District A,"LastName, FirstName",73977551371,W,1,555444,94.74%,97.37
Middle School - District A,"LastName, FirstName",73979397919,W,2,555444,94.74%,95.32
Intermediate School - District A,"LastName, FirstName",73979535999,W,2,555444,98.83%,96.78
Intermediate School - District A,"LastName, FirstName",73979557177,W,2,555444,96.49%,97.08
Intermediate School - District A,"LastName, FirstName",73979773353,W,1,555444,99.42%,98.25
High School - District A,"LastName, FirstName",73991533191,W,2,555444,97.95%,96.49
Primary School - District A,"LastName, FirstName",73991719397,W,1,555444,96.20%,96.78
Primary School - District A,"LastName, FirstName",73991733751,W,1,555444,98.83%,97.95
Primary School - District A,"LastName, FirstName",73991757195,W,2,555444,96.78%,97.95
Intermediate School - District A,"LastName, FirstName",73991775791,W,2,555444,93.86%,94.74
Middle School - District A,"LastName, FirstName",73991939155,W,2,555444,90.94%,99.12
Primary School - District A,"LastName, FirstName",73993179397,B,2,555444,97.66%,99.42
Middle School - District A,"LastName, FirstName",73993779573,W,2,555444,100.00%,97.95
Primary School - District A,"LastName, FirstName",73995117313,H,2,555444,98.54%,99.71
Middle School - District A,"LastName, FirstName",73995335711,W,1,555444,94.15%,96.49
High School - District A,"LastName, FirstName",73995719933,W,1,555444,100.00%,95.32
Middle School - District A,"LastName, FirstName",73995937375,H,1,555444,97.37%,96.49
Primary School - District A,"LastName, FirstName",73995939397,W,1,555444,98.25%,97.08
High School - District A,"LastName, FirstName",73997395739,W,1,555444,99.12%,98.54
High School - District A,"LastName, FirstName",73999317551,W,1,555444,95.32%,98.54
Primary School - District A,"LastName, FirstName",73999779731,W,1,555444,97.95%,99.42
Intermediate School - District A,"LastName, FirstName",75113531715,W,1,555444,97.08%,94.44
Middle School - District A,"LastName, FirstName",75113571937,W,2,555444,98.25%,98.25
Intermediate School - District A,"LastName, FirstName",75115395531,W,2,555444,95.32%,96.49
High School - District A,"LastName, FirstName",75115953539,W,1,555444,97.66%,97.37
Primary School - District A,"LastName, FirstName",75117913357,W,1,555444,99.12%,94.44
Intermediate School - District A,"LastName, FirstName",75131173957,W,1,555444,90.64%,97.37
Primary School - District A,"LastName, FirstName",75131595755,A,1,555444,94.15%,95.03
High School - District A,"LastName, FirstName",75133177759,H,1,555444,96.78%,95.03
Middle School - District A,"LastName, FirstName",75133357979,W,1,555444,92.98%,90.64
Intermediate School - District A,"LastName, FirstName",75135159931,W,1,555444,97.66%,100
High School - District A,"LastName, FirstName",75137137997,W,1,555444,98.25%,99.42
Primary School - District A,"LastName, FirstName",75137319793,W,2,555444,95.61%,98.25
Intermediate School - District A,"LastName, FirstName",75139175957,W,2,555444,94.44%,95.91
Intermediate School - District A,"LastName, FirstName",75153139339,B,2,555444,97.08%,96.78
Intermediate School - District A,"LastName, FirstName",75155779313,B,1,555444,95.61%,96.78
High School - District A,"LastName, FirstName",75157135513,W,2,555444,98.25%,98.25
Middle School - District A,"LastName, FirstName",75157355359,W,2,555444,98.54%,96.78
Middle School - District A,"LastName, FirstName",75159393599,W,2,555444,96.49%,98.83
Middle School - District A,"LastName, FirstName",75159717155,W,2,555444,98.25%,98.83
Primary School - District A,"LastName, FirstName",75171375999,A,1,555444,100.00%,97.08
Primary School - District A,"LastName, FirstName",75171519171,W,1,555444,98.83%,88.6
Primary School - District A,"LastName, FirstName",75171793353,W,1,555444,97.95%,99.71
Primary School - District A,"LastName, FirstName",75173197199,W,2,555444,94.15%,95.03
Middle School - District A,"LastName, FirstName",75175517573,W,2,555444,94.74%,98.54
Primary School - District A,"LastName, FirstName",75175759311,W,1,555444,99.42%,94.74
High School - District A,"LastName, FirstName",75175917311,W,2,555444,97.08%,97.08
High School - District A,"LastName, FirstName",75179197575,W,1,555444,98.54%,96.49
Primary School - District A,"LastName, FirstName",75191357371,W,1,555444,97.08%,94.15
Middle School - District A,"LastName, FirstName",75193199131,W,1,555444,95.03%,94.74
High School - District A,"LastName, FirstName",75195379757,W,2,555444,97.08%,99.42
High School - District A,"LastName, FirstName",75195553395,W,2,555444,98.54%,89.47
Primary School - District A,"LastName, FirstName",75199311733,W,1,555444,94.74%,95.32
High School - District A,"LastName, FirstName",75311777993,W,1,555444,92.40%,98.83
Middle School - District A,"LastName, FirstName",75311951595,W,2,555444,100.00%,98.25
Intermediate School - District A,"LastName, FirstName",75311971191,W,2,555444,95.32%,94.44
Middle School - District A,"LastName, FirstName",75313137173,W,2,555444,96.78%,97.08
Middle School - District A,"LastName, FirstName",75313379153,W,2,555444,92.98%,93.57
High School - District A,"LastName, FirstName",75313775199,W,1,555444,97.37%,91.81
Intermediate School - District A,"LastName, FirstName",75315913771,W,2,555444,92.40%,98.54
Primary School - District A,"LastName, FirstName",75331351531,W,1,555444,92.98%,99.42
Middle School - District A,"LastName, FirstName",75333393591,W,2,555444,96.78%,97.08
Primary School - District A,"LastName, FirstName",75335195151,W,1,555444,98.83%,99.71
Middle School - District A,"LastName, FirstName",75335915713,W,2,555444,91.81%,96.78
Primary School - District A,"LastName, FirstName",75339319791,W,1,555444,97.08%,93.86
High School - District A,"LastName, FirstName",75351999193,W,1,555444,95.61%,94.15
Middle School - District A,"LastName, FirstName",75353177317,W,1,555444,95.32%,97.95
Primary School - District A,"LastName, FirstName",75355313591,W,1,555444,97.66%,92.69
Middle School - District A,"LastName, FirstName",75357333513,W,1,555444,92.40%,98.25
Primary School - District A,"LastName, FirstName",75357933579,W,1,555444,94.15%,97.08
Intermediate School - District A,"LastName, FirstName",75359195977,W,2,555444,94.74%,100
Intermediate School - District A,"LastName, FirstName",75359755997,W,1,555444,100.00%,97.08
Intermediate School - District A,"LastName, FirstName",75371195153,W,2,555444,97.08%,96.78
High School - District A,"LastName, FirstName",75371335773,W,1,555444,94.15%,95.32
High School - District A,"LastName, FirstName",75371593977,W,2,555444,98.25%,96.78
High School - District A,"LastName, FirstName",75371973951,W,1,555444,98.25%,97.37
Middle School - District A,"LastName, FirstName",75373179537,W,2,555444,97.37%,93.27
High School - District A,"LastName, FirstName",75375551553,W,2,555444,100.00%,100
Primary School - District A,"LastName, FirstName",75377593519,W,1,555444,97.66%,95.32
High School - District A,"LastName, FirstName",75377975577,W,1,555444,93.57%,97.08
Intermediate School - District A,"LastName, FirstName",75377977357,W,2,555444,97.95%,93.57
Primary School - District A,"LastName, FirstName",75379757917,W,2,555444,99.12%,100
Primary School - District A,"LastName, FirstName",75391195739,B,2,555444,100.00%,93.86
High School - District A,"LastName, FirstName",75393579337,W,2,555444,95.32%,98.54
Intermediate School - District A,"LastName, FirstName",75393979515,W,1,555444,97.66%,97.66
Intermediate School - District A,"LastName, FirstName",75395513913,B,1,555444,98.54%,98.54
Primary School - District A,"LastName, FirstName",75397191519,W,2,555444,94.44%,97.08
High School - District A,"LastName, FirstName",75397755353,W,2,555444,100.00%,93.86
High School - District A,"LastName, FirstName",75397979191,W,1,555444,96.78%,98.54
Primary School - District A,"LastName, FirstName",75511955337,W,1,555444,99.42%,97.08
Primary School - District A,"LastName, FirstName",75515797757,W,1,555444,97.66%,96.2
Intermediate School - District A,"LastName, FirstName",75517975331,I,1,555444,94.15%,98.25
Primary School - District A,"LastName, FirstName",75519733797,B,2,555444,97.37%,94.74
Intermediate School - District A,"LastName, FirstName",75531333395,W,2,555444,98.25%,94.74
High School - District A,"LastName, FirstName",75531537195,W,1,555444,95.32%,97.08
High School - District A,"LastName, FirstName",75531713139,W,1,555444,98.54%,97.66
Primary School - District A,"LastName, FirstName",75533971751,W,1,555444,97.08%,94.15
High School - District A,"LastName, FirstName",75535953311,A,1,555444,92.98%,97.66
Middle School - District A,"LastName, FirstName",75539115997,W,2,555444,97.08%,96.49
High School - District A,"LastName, FirstName",75539371733,W,2,555444,97.08%,97.95
Intermediate School - District A,"LastName, FirstName",75553955319,W,1,555444,94.44%,95.32
Intermediate School - District A,"LastName, FirstName",75555377591,W,2,555444,93.86%,94.74
Primary School - District A,"LastName, FirstName",75555575193,W,1,555444,95.32%,93.57
Intermediate School - District A,"LastName, FirstName",75557139751,W,2,555444,95.61%,100
Primary School - District A,"LastName, FirstName",75557199197,W,2,555444,100.00%,94.15
High School - District A,"LastName, FirstName",75557375313,W,1,555444,100.00%,91.52
Middle School - District A,"LastName, FirstName",75571597393,W,1,555444,93.57%,96.49
Intermediate School - District A,"LastName, FirstName",75571775115,W,2,555444,94.15%,96.78
High School - District A,"LastName, FirstName",75573171377,W,2,555444,97.08%,97.37
Middle School - District A,"LastName, FirstName",75573797133,W,2,555444,98.25%,98.54
Primary School - District A,"LastName, FirstName",75575197179,W,1,555444,97.37%,99.42
Middle School - District A,"LastName, FirstName",75575717317,W,1,555444,91.81%,99.42
Middle School - District A,"LastName, FirstName",75577977719,W,1,555444,96.20%,97.66
Primary School - District A,"LastName, FirstName",75579995973,W,1,555444,99.71%,91.52
Middle School - District A,"LastName, FirstName",75591331955,A,1,555444,93.86%,100
Primary School - District A,"LastName, FirstName",75595951393,W,1,555444,94.15%,94.15
Intermediate School - District A,"LastName, FirstName",75597157117,W,1,555444,99.12%,95.03
High School - District A,"LastName, FirstName",75599331315,W,2,555444,97.08%,100
Intermediate School - District A,"LastName, FirstName",75599595373,W,1,555444,95.61%,97.37
Primary School - District A,"LastName, FirstName",75599931579,I,1,555444,97.37%,97.66
High School - District A,"LastName, FirstName",75711919715,W,2,555444,98.25%,93.57
Primary School - District A,"LastName, FirstName",75713119159,W,2,555444,96.49%,97.37
High School - District A,"LastName, FirstName",75715171553,W,2,555444,93.57%,96.49
High School - District A,"LastName, FirstName",75715197713,W,2,555444,96.78%,95.32
High School - District A,"LastName, FirstName",75715791377,W,1,555444,93.86%,100
Middle School - District A,"LastName, FirstName",75715999397,W,1,555444,100.00%,97.37
High School - District A,"LastName, FirstName",75717751337,W,1,555444,91.81%,96.49
High School - District A,"LastName, FirstName",75719171117,W,1,555444,97.95%,94.15
Intermediate School - District A,"LastName, FirstName",75731711535,W,2,555444,99.12%,96.49
Middle School - District A,"LastName, FirstName",75733311513,W,1,555444,91.81%,95.32
Intermediate School - District A,"LastName, FirstName",75733773117,B,1,555444,90.35%,94.15
Middle School - District A,"LastName, FirstName",75735357575,B,2,555444,94.44%,96.78
Middle School - District A,"LastName, FirstName",75751777993,W,1,555444,99.71%,97.37
Middle School - District A,"LastName, FirstName",75751979773,W,1,555444,88.30%,97.37
High School - District A,"LastName, FirstName",75755355939,W,2,555444,88.30%,96.49
Middle School - District A,"LastName, FirstName",75755591117,I,1,555444,96.20%,99.42
